date,total_value,cash,open_positions_value
2025-02-03,20032520.0,14011200.0,6021320.0
2025-02-04,20136860.0,14011200.0,6125660.0
2025-02-05,20150520.0,14011200.0,6139320.0
2025-02-06,20225140.0,14011200.0,6213940.0
2025-02-07,20315260.0,14011200.0,6304060.0
2025-02-10,20365320.0,10979500.0,9385820.0
2025-02-11,20401520.0,10979500.0,9422020.0
2025-02-12,20312960.0,10979500.0,9333460.0
2025-02-13,20376480.0,10979500.0,9396980.0
2025-02-14,20381100.0,10979500.0,9401600.0
2025-02-17,20335460.0,8080100.0,12255360.0
2025-02-18,20379960.0,8080100.0,12299860.0
2025-02-19,20446400.0,8080100.0,12366300.0
2025-02-20,20517620.0,8080100.0,12437520.0
2025-02-21,20557360.0,8080100.0,12477260.0
2025-02-24,20620570.0,5051900.0,15568670.0
2025-02-25,20603910.0,5051900.0,15552010.0
2025-02-26,20495030.0,5051900.0,15443130.0
2025-02-27,20543560.0,5051900.0,15491660.0
2025-02-28,20459200.0,5051900.0,15407300.0
2025-03-03,20680980.0,1988300.0,18692680.0
2025-03-04,20906000.0,1988300.0,18917700.0
2025-03-05,20839240.0,1988300.0,18850940.0
2025-03-06,21108550.0,1988300.0,19120250.0
2025-03-07,21280590.0,1988300.0,19292290.0
2025-03-10,21326080.0,1988300.0,19337780.0
2025-03-11,21407620.0,1988300.0,19419320.0
2025-03-12,21386300.0,1988300.0,19398000.0
2025-03-13,21128590.0,1988300.0,19140290.0
2025-03-14,21111811.0,1988300.0,19123511.0
2025-03-17,21251350.0,1988300.0,19263050.0
2025-03-18,21114020.0,1988300.0,19125720.0
2025-03-19,21022940.0,1988300.0,19034640.0
2025-03-20,21148040.0,1988300.0,19159740.0
2025-03-21,21067511.0,1988300.0,19079211.0
2025-03-24,21211600.0,1988300.0,19223300.0
2025-03-25,21160300.0,1988300.0,19172000.0
2025-03-26,21144831.0,1988300.0,19156531.0
2025-03-27,21035710.0,1988300.0,19047410.0
2025-03-28,20930390.0,1988300.0,18942090.0
2025-03-31,20876920.0,1988300.0,18888620.0
2025-04-01,21166930.0,1988300.0,19178630.0
2025-04-02,21124210.0,1988300.0,19135910.0
2025-04-03,19792640.0,1988300.0,17804340.0
2025-04-04,19658450.0,1988300.0,17670150.0
2025-04-07,19658450.0,1988300.0,17670150.0
2025-04-08,18394760.0,8024160.0,10370600.0
2025-04-09,18059600.0,8024160.0,10035440.0
2025-04-10,18749720.0,8024160.0,10725560.0
2025-04-11,19539020.0,4103360.0,15435660.0
